,bn_momentum,lr,target
0,0.9668088018810296,0.007231212485077366,0.653124988079071
1,0.800045749926938,0.003093092469055214,0.6078125238418579
2,0.8587023563268452,0.0010141520882110983,0.5859375
3,0.8745040845510684,0.003521051197726173,0.6578124761581421
4,0.958706989692268,0.005434285666633234,0.675000011920929
5,1.2,0.0001,0.20000000298023224
6,1.0893044341987066,0.0001,0.20000000298023224
7,0.9191987081306441,0.01,0.640625
8,1.0125773320691602,0.0001,0.20000000298023224
9,1.146030974094571,0.01,0.14531250298023224
10,0.9021496367485574,0.0001,0.635937511920929
11,0.8203799177396593,0.01,0.6234375238418579
12,0.8,0.01,0.6546875238418579
13,0.8865579259465286,0.01,0.5609375238418579
14,0.9330956860521286,0.0001,0.6265624761581421
15,0.9468098490096819,0.01,0.614062488079071
16,0.9723038437979079,0.0001,0.6484375
17,0.8810974387941443,0.0001,0.6484375
18,1.0577265333088344,0.01,0.140625
19,0.9590311396941098,0.0001,0.65625
20,0.8490051246729023,0.01,0.6078125238418579
21,0.9174525437271075,0.0001,0.6421874761581421
22,0.864876648378405,0.01,0.614062488079071
23,0.8079946364833137,0.01,0.535937488079071
24,0.8320846073805709,0.0001,0.65625
25,1.1128677073823432,0.01,0.20000000298023224
26,0.8333737538984899,0.01,0.651562511920929
27,0.9887095493993231,0.01,0.6328125
28,1.179617417514494,0.01,0.3109374940395355
